id,title,latitude,longitude,gmaps
543,"""Gemological Institute of America""",33.131313,-117.318765,t
544,"""Glendale Community College""",34.166422,-118.228251,t
545,"""Glendale Career College""",34.149611,-118.254927,t
546,"""Golden Gate University-San Francisco""",37.789208,-122.398785,t
547,"""Golden West College""",33.733775,-118.003035,t
548,"""Graduate Theological Union""",37.87554,-122.261847,t
549,"""Grossmont-Cuyamaca Community College District""",32.816054,-117.007292,t
550,"""Grossmont College""",32.816077,-117.007292,t
551,"""Salon Success Academy-San Bernardino""",34.135988,-117.287615,t
552,"""Hartnell College""",36.673052,-121.668763,t
553,"""Harvey Mudd College""",34.106137,-117.710594,t
554,"""Heald College-Rancho Cordova""",38.594382,-121.280086,t
555,"""Heald College-Fresno""",36.822401,-119.795525,t
556,"""Heald College-San Jose""",37.410897,-121.893911,t
557,"""Heald College-San Francisco""",37.781932,-122.404301,t
558,"""Heald College-Concord""",38.018938,-122.030047,t
559,"""Hilltop Beauty School""",37.705545,-122.461674,t
560,"""Holy Names University""",37.802654,-122.187169,t
561,"""Pacifica Graduate Institute""",34.420464,-119.580264,t
562,"""Humboldt State University""",40.8741,-124.0814,t
563,"""Humphreys College-Stockton and Modesto Campuses""",38.011051,-121.316401,t
564,"""Imperial Valley College""",32.827563,-115.503903,t
565,"""Institute for Business and Technology""",37.368642,-121.969541,t
566,"""LA College International""",34.061425,-118.292039,t
567,"""Interior Designers Institute""",33.641393,-117.865722,t
568,"""Toni & Guy Hairdressing Academy-Santa Monica""",34.017466,-118.494898,t
569,"""Irvine Valley College""",33.675079,-117.778575,t
570,"""ITT Technical Institute-San Diego""",32.807147,-117.119672,t
